ROI,Weights,Atlas,Task
7Networks_RH_Vis_28,-0.004027000174258652,schaefer,rest
7Networks_RH_Vis_29,-0.01330872779519784,schaefer,rest
7Networks_RH_Vis_30,-0.0007746405112996921,schaefer,rest
7Networks_RH_SomMot_1,0.005528066616263999,schaefer,rest
7Networks_RH_SomMot_2,0.006677203569017339,schaefer,rest
7Networks_RH_SomMot_3,0.016178442793494334,schaefer,rest
7Networks_RH_SomMot_4,-0.02254748211854509,schaefer,rest
7Networks_RH_SomMot_5,-0.003100561795312074,schaefer,rest
7Networks_RH_SomMot_6,-0.008921735456874372,schaefer,rest
7Networks_RH_SomMot_7,-0.005762610652970958,schaefer,rest
7Networks_RH_SomMot_8,-0.003005616584526625,schaefer,rest
7Networks_RH_SomMot_9,-0.00033646292865519283,schaefer,rest
7Networks_RH_SomMot_10,-0.0002588135539499203,schaefer,rest
7Networks_RH_SomMot_11,-0.0016594700448850344,schaefer,rest
7Networks_RH_SomMot_12,-0.06306760181233045,schaefer,rest
7Networks_RH_SomMot_13,-0.0018486120863498885,schaefer,rest
7Networks_RH_SomMot_14,-0.0013441027901826014,schaefer,rest
7Networks_RH_SomMot_15,-0.007807127998107873,schaefer,rest
7Networks_RH_SomMot_16,-0.008259138682407635,schaefer,rest
7Networks_RH_SomMot_17,-0.03304537178883405,schaefer,rest
7Networks_RH_SomMot_18,-0.011219616174547095,schaefer,rest
7Networks_RH_SomMot_19,-0.010323346041629863,schaefer,rest
7Networks_RH_SomMot_20,-0.013391741990339191,schaefer,rest
7Networks_RH_SomMot_21,-0.03556387503280441,schaefer,rest
7Networks_RH_SomMot_22,-0.010559329216011324,schaefer,rest
7Networks_RH_SomMot_23,-0.043580818037104646,schaefer,rest
7Networks_RH_SomMot_24,-0.029633122298190588,schaefer,rest
7Networks_RH_SomMot_25,-0.012755657795824818,schaefer,rest
7Networks_RH_SomMot_26,-0.018661708557606856,schaefer,rest
7Networks_RH_SomMot_27,-0.005135359244998246,schaefer,rest
7Networks_RH_SomMot_28,-0.026682813569287672,schaefer,rest
7Networks_RH_SomMot_29,-0.011260773559113889,schaefer,rest
7Networks_RH_SomMot_30,-0.021647809206392185,schaefer,rest
7Networks_RH_SomMot_31,-0.00929582924613337,schaefer,rest
7Networks_RH_SomMot_32,-0.012319404521420834,schaefer,rest
7Networks_RH_SomMot_33,-0.020058203938603674,schaefer,rest
7Networks_RH_SomMot_34,0.007278301251222188,schaefer,rest
