Subject,Task,Network,Value
sub-31,rest,DorsalAttention,-0.10293685923286675
sub-31,rest,VentralAttention,0.003457203236661962
sub-31,rest,Limbic,0.00014963287892084379
sub-31,rest,Frontoparietal,-0.056764927572158834
sub-31,rest,Default,0.001494984755824144
sub-32,rest,Visual,-0.03820047264472708
sub-32,rest,Somatomotor,0.011276587008632216
sub-32,rest,DorsalAttention,-0.034050992895762904
sub-32,rest,VentralAttention,0.017156585749966483
sub-32,rest,Limbic,-1.164983081972291e-09
sub-32,rest,Frontoparietal,-0.011284811076034629
sub-32,rest,Default,-0.026609808027487976
sub-33,rest,Visual,-0.027862556834633248
sub-33,rest,Somatomotor,0.02115899570753703
sub-33,rest,DorsalAttention,-0.045641019586509804
sub-33,rest,VentralAttention,0.08987150403617643
sub-33,rest,Limbic,0.0002973464411366674
sub-33,rest,Frontoparietal,-0.015415736358923453
sub-33,rest,Default,-0.022805956792947137
sub-34,rest,Visual,-0.08221921862601785
sub-34,rest,Somatomotor,-0.01581801532435905
sub-34,rest,DorsalAttention,0.024217666876228054
sub-34,rest,VentralAttention,0.021610833636715763
sub-34,rest,Limbic,3.7210477478792525e-07
sub-34,rest,Frontoparietal,0.02998172538157347
sub-34,rest,Default,-0.02783360310554591
sub-35,rest,Visual,-0.06115486368351558
sub-35,rest,Somatomotor,0.015748794234175516
sub-35,rest,DorsalAttention,-0.0015245682965983516
sub-35,rest,VentralAttention,-0.006851352495813626
sub-35,rest,Limbic,-3.5346704168609596e-07
sub-35,rest,Frontoparietal,0.012342149904562175
sub-35,rest,Default,0.012979354440952974
sub-36,rest,Visual,-0.017304158898333043
sub-36,rest,Somatomotor,-0.018953040661716453
sub-36,rest,DorsalAttention,-0.018310558586468767
sub-36,rest,VentralAttention,0.04133706927143516
sub-36,rest,Limbic,-3.2686776622372173e-06
sub-36,rest,Frontoparietal,-0.010668519179375066
sub-36,rest,Default,0.03320456792308837
sub-37,rest,Visual,-0.042217165778935556
sub-37,rest,Somatomotor,0.011180203389693995
sub-37,rest,DorsalAttention,-0.03301352480763781
sub-37,rest,VentralAttention,0.03915451467752514
sub-37,rest,Limbic,3.6782964465105193e-07
sub-37,rest,Frontoparietal,-0.020531606480497185
sub-37,rest,Default,-0.007527126311113878
sub-38,rest,Visual,-0.12757882269850768
sub-38,rest,Somatomotor,0.13285748157809704
sub-38,rest,DorsalAttention,0.11016285405247613
sub-38,rest,VentralAttention,0.07876223787388761
sub-38,rest,Limbic,2.944203299680997e-06
sub-38,rest,Frontoparietal,0.04157482058139877
sub-38,rest,Default,-0.014340393378595875
sub-39,rest,Visual,0.006497010690625896
sub-39,rest,Somatomotor,0.006956287802943797
sub-39,rest,DorsalAttention,0.055567958906401226
sub-39,rest,VentralAttention,-0.02192265402905543
sub-39,rest,Limbic,6.96328054424902e-06
sub-39,rest,Frontoparietal,0.02567004217584089
sub-39,rest,Default,0.013028834768283551
sub-40,rest,Visual,0.045431893759217044
sub-40,rest,Somatomotor,-0.11780861358543467
sub-40,rest,DorsalAttention,-0.03771294236591469
sub-40,rest,VentralAttention,0.04065136707344922
sub-40,rest,Limbic,0.00014570689268818805
sub-40,rest,Frontoparietal,-0.042734172608441263
sub-40,rest,Default,0.026744873219079857
sub-01,fe,Visual,0.04266468438536084
sub-01,fe,Somatomotor,0.053482535943723736
sub-01,fe,DorsalAttention,-0.02311341855070605
sub-01,fe,VentralAttention,0.001771122014658591
sub-01,fe,Limbic,-8.044543042679965e-05
sub-01,fe,Frontoparietal,0.002913955651670677
sub-01,fe,Default,0.012099239471294234
sub-02,fe,Visual,-0.1338702482203849
sub-02,fe,Somatomotor,0.10694695743743929
sub-02,fe,DorsalAttention,-0.007559440364422234
sub-02,fe,VentralAttention,0.05023082766939728
sub-02,fe,Limbic,0.0005682487439650994
sub-02,fe,Frontoparietal,0.01659488006489404
sub-02,fe,Default,0.09300278107343003
sub-03,fe,Visual,0.06678456068812305
sub-03,fe,Somatomotor,0.08651046335317798
sub-03,fe,DorsalAttention,-0.0015940430036920621
sub-03,fe,VentralAttention,-0.05446372524748141
sub-03,fe,Limbic,-0.009680759437234782
sub-03,fe,Frontoparietal,-0.12920916411621391
sub-03,fe,Default,-0.12105941184289783
sub-04,fe,Visual,0.03375074438317711
sub-04,fe,Somatomotor,-0.06620537842002613
sub-04,fe,DorsalAttention,-0.024998955038337337
sub-04,fe,VentralAttention,-0.026491071590373817
sub-04,fe,Limbic,-1.0973673602278184e-06
sub-04,fe,Frontoparietal,0.01931743571349688
sub-04,fe,Default,0.003810610781158369
sub-05,fe,Visual,-0.05815463118789261
sub-05,fe,Somatomotor,-0.028235909565599706
sub-05,fe,DorsalAttention,-0.006702162663209436
sub-05,fe,VentralAttention,-0.0008745269688100905
sub-05,fe,Limbic,0.018607167003825156
sub-05,fe,Frontoparietal,-0.0009010754147173144
sub-05,fe,Default,0.007635798370264146
sub-06,fe,Visual,0.07781455877265486
sub-06,fe,Somatomotor,-0.04556974760807243
sub-06,fe,DorsalAttention,-0.016226935170700653
sub-06,fe,VentralAttention,-0.06630640517170194
sub-06,fe,Limbic,1.5326192800381948e-05
sub-06,fe,Frontoparietal,-0.0457590719280229
sub-06,fe,Default,-0.08487478309881462
sub-07,fe,Visual,0.025885681188176912
sub-07,fe,Somatomotor,0.022417397256291827
sub-07,fe,DorsalAttention,0.053031166467895435
sub-07,fe,VentralAttention,-0.014986797716909127
sub-07,fe,Limbic,2.48538192922629e-10
sub-07,fe,Frontoparietal,0.0028115772871631097
sub-07,fe,Default,-0.012484701409639639
sub-08,fe,Visual,0.0916090934684603
sub-08,fe,Somatomotor,-0.1316692284119679
sub-08,fe,DorsalAttention,0.02130879400707339
sub-08,fe,VentralAttention,-0.12179704922459587
sub-08,fe,Limbic,-1.4171197907528939e-06
sub-08,fe,Frontoparietal,-0.0874174538232735
sub-08,fe,Default,-0.002932549357608087
sub-09,fe,Visual,0.08786016832041815
sub-09,fe,Somatomotor,-0.3088638856913862
sub-09,fe,DorsalAttention,-0.06096017691400215
sub-09,fe,VentralAttention,-0.15272308098836826
sub-09,fe,Limbic,0.022609311937244598
sub-09,fe,Frontoparietal,0.11805043329467696
sub-09,fe,Default,0.07527376300099427
sub-10,fe,Visual,0.034485150129187486
sub-10,fe,Somatomotor,0.022582195919433695
sub-10,fe,DorsalAttention,-0.041783183859642706
sub-10,fe,VentralAttention,-0.008779439083818069
sub-10,fe,Limbic,1.561897703988207e-07
sub-10,fe,Frontoparietal,-0.036832703994451384
sub-10,fe,Default,-0.032938809271878325
sub-11,fe,Visual,0.07489425412372155
sub-11,fe,Somatomotor,-0.06675320861106716
