Subject,Task,Network,Value
sub-33,rest,Somatomotor,0.15863017023813436
sub-33,rest,DorsalAttention,0.12707368741084862
sub-33,rest,VentralAttention,0.2308001973977584
sub-33,rest,Limbic,0.00027477373120001023
sub-33,rest,Frontoparietal,0.12056385588246325
sub-33,rest,Default,0.12243543407195774
sub-34,rest,Visual,0.18617474081614202
sub-34,rest,Somatomotor,0.14203816808198577
sub-34,rest,DorsalAttention,0.15570793835545313
sub-34,rest,VentralAttention,0.12474861863000275
sub-34,rest,Limbic,3.7210477478792525e-07
sub-34,rest,Frontoparietal,0.10158922629792413
sub-34,rest,Default,0.09812690217120204
sub-35,rest,Visual,0.09822243702871425
sub-35,rest,Somatomotor,0.10361891282237674
sub-35,rest,DorsalAttention,0.09730981374043202
sub-35,rest,VentralAttention,0.08114660083469519
sub-35,rest,Limbic,3.53467041686096e-07
sub-35,rest,Frontoparietal,0.06405355406105298
sub-35,rest,Default,0.05954698481101699
sub-36,rest,Visual,0.1930161459386706
sub-36,rest,Somatomotor,0.23405711792636708
sub-36,rest,DorsalAttention,0.22922736032574656
sub-36,rest,VentralAttention,0.27177875454500683
sub-36,rest,Limbic,3.268677662237217e-06
sub-36,rest,Frontoparietal,0.1852549793847093
sub-36,rest,Default,0.1486546515163462
sub-37,rest,Visual,0.13086380836810602
sub-37,rest,Somatomotor,0.15714599698620685
sub-37,rest,DorsalAttention,0.160079750614676
sub-37,rest,VentralAttention,0.12796173480839984
sub-37,rest,Limbic,3.6782964465105193e-07
sub-37,rest,Frontoparietal,0.08525916125756287
sub-37,rest,Default,0.08001924014568151
sub-38,rest,Visual,0.14248308368627174
sub-38,rest,Somatomotor,0.14223453661719673
sub-38,rest,DorsalAttention,0.14965414580638714
sub-38,rest,VentralAttention,0.13146089088877735
sub-38,rest,Limbic,2.9442032996809975e-06
sub-38,rest,Frontoparietal,0.0957315646739201
sub-38,rest,Default,0.08150526588004438
sub-39,rest,Visual,0.12137298138118027
sub-39,rest,Somatomotor,0.09795288793377628
sub-39,rest,DorsalAttention,0.11300346412352658
sub-39,rest,VentralAttention,0.1173132243538452
sub-39,rest,Limbic,8.003078170922834e-05
sub-39,rest,Frontoparietal,0.08201905786232036
sub-39,rest,Default,0.06087437824069201
sub-40,rest,Visual,0.18516865172886843
sub-40,rest,Somatomotor,0.20651783594725673
sub-40,rest,DorsalAttention,0.15367468414086288
sub-40,rest,VentralAttention,0.24796612681348046
sub-40,rest,Limbic,0.00017340849210666342
sub-40,rest,Frontoparietal,0.12528427774072567
sub-40,rest,Default,0.11363990005876996
sub-01,fe,Visual,0.17134175347854752
sub-01,fe,Somatomotor,0.15974081683222835
sub-01,fe,DorsalAttention,0.16399556940948593
sub-01,fe,VentralAttention,0.2030752569553413
sub-01,fe,Limbic,0.0001103624586569172
sub-01,fe,Frontoparietal,0.1234711723830332
sub-01,fe,Default,0.14944154122057424
sub-02,fe,Visual,0.2347270869532811
sub-02,fe,Somatomotor,0.1786714424491585
sub-02,fe,DorsalAttention,0.17094502546031246
sub-02,fe,VentralAttention,0.20330135537383143
sub-02,fe,Limbic,0.0005740475086316932
sub-02,fe,Frontoparietal,0.13139759836801343
sub-02,fe,Default,0.12817684108077299
sub-03,fe,Visual,0.17322995997799023
sub-03,fe,Somatomotor,0.2352892177608127
sub-03,fe,DorsalAttention,0.21410883979519038
sub-03,fe,VentralAttention,0.31630820531972853
sub-03,fe,Limbic,0.008057203921382008
sub-03,fe,Frontoparietal,0.20426687516657277
sub-03,fe,Default,0.2031995999046606
sub-04,fe,Visual,0.12291544592206154
sub-04,fe,Somatomotor,0.1778677301538439
sub-04,fe,DorsalAttention,0.14367078787685592
sub-04,fe,VentralAttention,0.19448831531360314
sub-04,fe,Limbic,1.0973673602278184e-06
sub-04,fe,Frontoparietal,0.11447052170904345
sub-04,fe,Default,0.08889546802176343
sub-05,fe,Visual,0.13732254949073475
sub-05,fe,Somatomotor,0.04874315341610625
sub-05,fe,DorsalAttention,0.04056879304680734
sub-05,fe,VentralAttention,0.08811570904388266
sub-05,fe,Limbic,0.01091870561460764
sub-05,fe,Frontoparietal,0.028157369375280804
sub-05,fe,Default,0.04729072240099361
sub-06,fe,Visual,0.17982350858723825
sub-06,fe,Somatomotor,0.19202331710417164
sub-06,fe,DorsalAttention,0.16541549321467017
sub-06,fe,VentralAttention,0.2281570464470577
sub-06,fe,Limbic,1.5326192800381944e-05
sub-06,fe,Frontoparietal,0.1276315318546696
sub-06,fe,Default,0.11650907422731238
sub-07,fe,Visual,0.11370789730094433
sub-07,fe,Somatomotor,0.13939904863370325
sub-07,fe,DorsalAttention,0.11662449434398503
sub-07,fe,VentralAttention,0.08871408177559395
sub-07,fe,Limbic,2.48538192922629e-10
sub-07,fe,Frontoparietal,0.0576695396049952
sub-07,fe,Default,0.06833973308977102
sub-08,fe,Visual,0.11263089271473288
sub-08,fe,Somatomotor,0.13526304819674967
sub-08,fe,DorsalAttention,0.1549360120937927
sub-08,fe,VentralAttention,0.15267552346626762
sub-08,fe,Limbic,1.4171197907528939e-06
sub-08,fe,Frontoparietal,0.11999933500983943
sub-08,fe,Default,0.0832609594135798
sub-09,fe,Visual,0.18481435235070948
sub-09,fe,Somatomotor,0.2615375264225582
sub-09,fe,DorsalAttention,0.18396659287652478
sub-09,fe,VentralAttention,0.24690323782301773
sub-09,fe,Limbic,0.02571125185450986
sub-09,fe,Frontoparietal,0.18566871404762053
sub-09,fe,Default,0.18108321645648495
sub-10,fe,Visual,0.13448195583544775
sub-10,fe,Somatomotor,0.1457417360694604
sub-10,fe,DorsalAttention,0.15856861539740522
sub-10,fe,VentralAttention,0.10853424685187911
sub-10,fe,Limbic,1.5618977039882068e-07
sub-10,fe,Frontoparietal,0.08185701425917279
sub-10,fe,Default,0.07745472405791223
sub-11,fe,Visual,0.127335708149837
sub-11,fe,Somatomotor,0.1326852111999863
sub-11,fe,DorsalAttention,0.13575968411588282
sub-11,fe,VentralAttention,0.16623557427552388
sub-11,fe,Limbic,2.604972031069099e-07
sub-11,fe,Frontoparietal,0.11121172771875827
sub-11,fe,Default,0.09996813164546112
sub-12,fe,Visual,0.15051997564584768
sub-12,fe,Somatomotor,0.16147073101240622
sub-12,fe,DorsalAttention,0.16000236833931988
sub-12,fe,VentralAttention,0.13899125336154367
sub-12,fe,Limbic,3.1311237881500253e-07
sub-12,fe,Frontoparietal,0.10437412002367807
sub-12,fe,Default,0.09203195241243026
sub-13,fe,Visual,0.11593214426840856
